datum,ID,zamestnanec,pocet_transakci,transakce_za_hod,SOS_sec,AGC,smena_zacatek,smena_konec,trvani_hodin,log_transakce_za_hod,log_agc,anomalie,skore,duvod
2025-01-01,2,#1,93.0,13.285714285714286,38.0,173.92,2025-01-01 15:00:00,2025-01-01 22:00:00,7.0,2.659260036932778,5.16432872654472,False,0.03702753652349278,
2025-01-01,6,#7,34.0,17.0,22.0,157.05,2025-01-01 22:00:00,2025-01-02 00:00:00,2.0,2.8903717578961645,5.062911438661627,True,-0.004442521656851661,log_transakce_za_hod
2025-01-01,3,#21,34.0,4.857142857142857,41.0,198.08,2025-01-01 08:00:00,2025-01-01 15:00:00,7.0,1.7676619176489945,5.293706753990353,False,0.16644590895844713,
2025-01-01,4,#23,52.0,10.4,30.0,214.72,2025-01-01 03:00:00,2025-01-01 08:00:00,5.0,2.4336133554004498,5.373981270469026,False,0.08078262072431175,
2025-01-02,17,#2,35.0,5.0,28.0,129.6,2025-01-02 15:00:00,2025-01-02 22:00:00,7.0,1.791759469228055,4.8721392168423305,False,0.1976934502829425,
2025-01-02,18,#3,26.0,6.5,28.0,154.25,2025-01-02 00:00:00,2025-01-02 04:00:00,4.0,2.0149030205422647,5.045036720813588,False,0.20743372683720362,
2025-01-02,19,#7,15.0,3.75,27.0,208.79,2025-01-02 03:00:00,2025-01-02 07:00:00,4.0,1.55814461804655,5.346107030383885,False,0.14534445963099651,
2025-01-02,14,#11,30.0,3.75,29.0,134.09,2025-01-02 14:00:00,2025-01-02 22:00:00,8.0,1.55814461804655,4.90594122298159,False,0.1797800522681391,
2025-01-02,15,#21,33.0,4.714285714285714,40.0,220.14,2025-01-02 08:00:00,2025-01-02 15:00:00,7.0,1.742969305058623,5.398795985114256,False,0.14561627755479312,
2025-01-03,31,#2,12.0,2.4,38.0,157.52,2025-01-03 15:00:00,2025-01-03 20:00:00,5.0,1.2237754316221157,5.065880768322234,False,0.10789424456350916,
2025-01-03,32,#3,27.0,3.857142857142857,27.0,174.01,2025-01-03 00:00:00,2025-01-03 07:00:00,7.0,1.580450375560848,5.164843115148066,False,0.18946236605957267,
2025-01-03,27,#15,51.0,6.375,45.0,212.0,2025-01-03 14:00:00,2025-01-03 22:00:00,8.0,1.9980959022258835,5.3612921657094255,False,0.1246156875443345,
2025-01-03,29,#21,40.0,5.714285714285714,37.0,194.99,2025-01-03 08:00:00,2025-01-03 15:00:00,7.0,1.9042374526547452,5.278063637520769,False,0.18805625228092637,
2025-01-04,43,#3,21.0,5.25,29.0,133.96,2025-01-04 03:00:00,2025-01-04 07:00:00,4.0,1.8325814637483104,4.904978438237713,False,0.19964990879210132,
2025-01-04,44,#5,83.0,10.375,44.0,217.24,2025-01-04 14:00:00,2025-01-04 22:00:00,8.0,2.431417964837014,5.3855953746550975,False,0.03438979111446561,
2025-01-04,40,#15,21.0,3.5,33.0,138.46,2025-01-04 08:00:00,2025-01-04 14:00:00,6.0,1.5040773967762742,4.9377778217928645,False,0.17281079425298002,
2025-01-04,42,#29,22.0,5.5,26.0,140.03,2025-01-04 00:00:00,2025-01-04 04:00:00,4.0,1.8718021769015916,4.948972633704149,False,0.20654998748381959,
2025-01-05,56,#5,51.0,6.375,38.0,180.03,2025-01-05 14:00:00,2025-01-05 22:00:00,8.0,1.9980959022258835,5.198662763387852,False,0.19480782696947596,
2025-01-05,57,#7,22.0,5.5,20.0,135.54,2025-01-05 00:00:00,2025-01-05 04:00:00,4.0,1.8718021769015916,4.916617611990135,False,0.15033366635767087,
2025-01-05,53,#26,20.0,3.333333333333333,37.0,187.72,2025-01-05 08:00:00,2025-01-05 14:00:00,6.0,1.4663370687934272,5.240264435099419,False,0.1586712679683822,
2025-01-05,54,#29,17.0,3.4,20.0,123.35,2025-01-05 03:00:00,2025-01-05 08:00:00,5.0,1.4816045409242156,4.823100170249414,False,0.11779925511299938,
2025-01-06,67,#5,67.0,7.444444444444445,42.0,175.84,2025-01-06 13:00:00,2025-01-06 22:00:00,9.0,2.133508762950112,5.175245368958042,False,0.15756938786327912,
2025-01-06,68,#7,20.0,2.5,25.0,146.17,2025-01-06 00:00:00,2025-01-06 08:00:00,8.0,1.252762968495368,4.9915883811760215,False,0.124971378778449,
2025-01-06,65,#21,21.0,3.5,40.0,173.07,2025-01-06 08:00:00,2025-01-06 14:00:00,6.0,1.5040773967762742,5.1594575171646175,False,0.1677679031748875,
2025-01-07,78,#3,13.0,3.25,29.0,147.75,2025-01-07 00:00:00,2025-01-07 04:00:00,4.0,1.4469189829363254,5.002267044425739,False,0.17860221850639268,
2025-01-07,79,#5,52.0,6.5,34.0,189.05,2025-01-07 14:00:00,2025-01-07 22:00:00,8.0,2.0149030205422647,5.247287195435257,False,0.19575445132434427,
2025-01-07,80,#7,13.0,4.333333333333333,13.0,119.32,2025-01-07 03:00:00,2025-01-07 06:00:00,3.0,1.6739764335716716,4.79015486020153,False,0.029499721999672435,
2025-01-07,75,#21,32.0,4.571428571428571,29.0,140.65,2025-01-07 08:00:00,2025-01-07 15:00:00,7.0,1.717651497074333,4.953359226276525,False,0.20295814247528504,
2025-01-08,90,#3,40.0,5.714285714285714,30.0,145.37,2025-01-08 00:00:00,2025-01-08 07:00:00,7.0,1.9042374526547452,4.986137662495856,False,0.21049746569729277,
2025-01-08,92,#9,59.0,8.428571428571429,25.0,168.75,2025-01-08 16:00:00,2025-01-08 23:00:00,7.0,2.243744592971112,5.1343267664388055,False,0.1654681438725767,
2025-01-08,88,#21,42.0,5.25,36.0,186.51,2025-01-08 08:00:00,2025-01-08 16:00:00,8.0,1.8325814637483104,5.233832177321627,False,0.20007338991481433,
2025-01-09,99,#21,54.0,6.0,29.0,187.08,2025-01-09 07:00:00,2025-01-09 16:00:00,9.0,1.9459101490553128,5.236867404231814,False,0.1989609941792581,
2025-01-09,101,#23,27.0,6.75,34.0,140.2,2025-01-09 00:00:00,2025-01-09 04:00:00,4.0,2.0476928433652555,4.950177325059141,False,0.1908617963570095,
2025-01-09,100,#22,13.0,1.625,25.0,158.19,2025-01-09 15:00:00,2025-01-09 23:00:00,8.0,0.965080896043587,5.0700984573670445,False,0.049372972316301,
2025-01-09,103,#29,21.0,3.5,36.0,174.12,2025-01-09 16:00:00,2025-01-09 22:00:00,6.0,1.5040773967762742,5.165471453214607,False,0.18032202603595793,
2025-01-10,117,#3,23.0,7.666666666666667,24.0,159.15,2025-01-10 21:00:00,2025-01-11 00:00:00,3.0,2.159484249353373,5.076110876055167,False,0.1809203194262441,
2025-01-10,111,#17,42.0,6.0,52.0,149.65,2025-01-10 14:00:00,2025-01-10 21:00:00,7.0,1.9459101490553128,5.01495926557631,False,0.042526395216794355,
2025-01-10,112,#21,28.0,4.666666666666667,38.0,194.15,2025-01-10 08:00:00,2025-01-10 14:00:00,6.0,1.7346010553881064,5.2737684936266245,False,0.1812359363894675,
2025-01-10,113,#22,19.0,2.375,25.0,137.39,2025-01-10 14:00:00,2025-01-10 22:00:00,8.0,1.2163953243244932,4.930075786237839,False,0.1156414494886695,
2025-01-10,116,#30,13.0,6.5,31.0,135.98,2025-01-10 00:00:00,2025-01-10 02:00:00,2.0,2.0149030205422647,4.919834929769759,False,0.1982047023985381,
2025-01-11,128,#3,35.0,5.0,31.0,166.1,2025-01-11 00:00:00,2025-01-11 07:00:00,7.0,1.791759469228055,5.118592435601348,False,0.21105441662373198,
2025-01-11,129,#4,19.0,4.75,26.0,127.91,2025-01-11 11:00:00,2025-01-11 15:00:00,4.0,1.749199854809259,4.859114486455013,False,0.19404313597626477,
2025-01-11,124,#11,24.0,3.4285714285714284,42.0,147.71,2025-01-11 07:00:00,2025-01-11 14:00:00,7.0,1.4880770554298328,5.001998100700592,False,0.1287291257886602,
2025-01-11,125,#26,39.0,5.571428571428571,34.0,183.59,2025-01-11 15:00:00,2025-01-11 22:00:00,7.0,1.8827312474337816,5.218137149420508,False,0.20493948814159368,
2025-01-12,142,#7,21.0,7.0,17.0,126.1,2025-01-12 00:00:00,2025-01-12 03:00:00,3.0,2.079441541679836,4.844974178195408,False,0.07338192826667156,
